COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
             Q_WC_08	    1	      1,000,000	    1,238,445,000	          807,464	  13	    9	   2,166	     631	    97	          4,000	         54,000	        135,000	        205,000	      1,147,000
             Q_WC_16	    1	      1,000,000	    1,323,680,000	          755,470	  14	   19	   2,482	     837	     2	          4,000	        115,000	        319,000	        632,000	      2,019,000
           Q_WC_X_01	    1	      1,000,000	    1,121,116,000	          891,968	  13	    7	   1,676	     372	     0	          4,000	         13,000	         17,000	         35,000	        732,000
           Q_WC_X_02	    1	      1,000,000	      608,686,000	        1,642,883	  13	    8	   1,900	     237	    21	          5,000	         21,000	         32,000	         85,000	        840,000
           Q_WC_X_04	    1	      1,000,000	      440,140,000	        2,272,004	  13	    9	   2,678	     251	     0	          9,000	         49,000	         85,000	        129,000	      1,090,000
           Q_WC_X_08	    1	      1,000,000	      499,943,000	        2,000,228	  13	   11	   3,056	     463	     0	          4,000	        181,000	        430,000	        885,000	      2,936,000
           Q_WC_X_16	    1	      1,000,000	      662,299,000	        1,509,892	  16	   21	   4,171	     847	   187	         14,000	        574,000	      1,527,000	      2,300,000	     38,105,000

             Q_WC_01	    2	      1,000,000	    1,115,653,000	          896,336	  16	    9	   1,664	     372	    21	              0	         13,000	         17,000	         26,000	         55,000
             Q_WC_02	    2	      1,000,000	    1,175,446,000	          850,741	  16	    9	   1,855	     467	     0	          4,000	         18,000	         26,000	         35,000	         76,000
             Q_WC_04	    2	      1,000,000	    1,200,137,000	          833,238	  16	    9	   1,997	     535	     0	          4,000	         31,000	         54,000	         80,000	        134,000
             Q_WC_08	    2	      1,000,000	    1,228,074,000	          814,283	  16	   10	   2,123	     623	    21	          3,000	         54,000	        135,000	        205,000	        373,000
             Q_WC_16	    2	      1,000,000	    1,287,510,000	          776,693	  16	   11	   2,351	     799	     0	          7,000	        112,000	        311,000	        602,000	        879,000
           Q_WC_X_01	    2	      1,000,000	    1,097,537,000	          911,131	  16	    9	   1,652	     358	     0	          4,000	         13,000	         17,000	         25,000	         83,000
           Q_WC_X_02	    2	      1,000,000	      629,034,000	        1,589,739	  16	   10	   1,969	     242	    22	          5,000	         21,000	         30,000	         41,000	         89,000
           Q_WC_X_04	    2	      1,000,000	      462,909,000	        2,160,252	  16	    9	   2,808	     270	    45	          6,000	         50,000	         88,000	        129,000	        908,000
           Q_WC_X_08	    2	      1,000,000	      498,618,000	        2,005,543	  16	   15	   3,285	     434	    42	         12,000	        208,000	        484,000	        921,000	      2,573,000
           Q_WC_X_16	    2	      1,000,000	      647,248,000	        1,545,003	  16	   21	   3,938	     962	   113	         17,000	        633,000	      1,338,000	      1,861,000	      5,169,000

             Q_WC_01	    3	      1,000,000	    1,092,156,000	          915,620	  16	   10	   1,664	     340	    36	          5,000	         13,000	         17,000	         24,000	         80,000
             Q_WC_02	    3	      1,000,000	    1,178,225,000	          848,734	  16	    8	   1,881	     460	    57	          4,000	         18,000	         26,000	         33,000	         87,000
             Q_WC_04	    3	      1,000,000	    1,201,539,000	          832,266	  16	    9	   2,022	     535	    44	          4,000	         31,000	         54,000	         78,000	        134,000
             Q_WC_08	    3	      1,000,000	    1,224,260,000	          816,820	  16	   10	   2,128	     618	    32	          5,000	         53,000	        133,000	        200,000	        319,000
             Q_WC_16	    3	      1,000,000	    1,277,312,000	          782,894	  16	   12	   2,337	     801	    26	          5,000	        111,000	        307,000	        590,000	        881,000
           Q_WC_X_01	    3	      1,000,000	    1,097,179,000	          911,428	  16	    8	   1,655	     353	     1	          4,000	         13,000	         17,000	         26,000	         65,000
           Q_WC_X_02	    3	      1,000,000	      602,591,000	        1,659,500	  16	   10	   1,894	     228	     0	          6,000	         20,000	         28,000	         39,000	        876,000
           Q_WC_X_04	    3	      1,000,000	      457,286,000	        2,186,815	  16	   10	   2,801	     263	    20	          8,000	         49,000	         85,000	        124,000	        961,000
           Q_WC_X_08	    3	      1,000,000	      501,710,000	        1,993,183	  16	   16	   3,198	     405	     0	         11,000	        186,000	        456,000	      1,049,000	      4,375,000
           Q_WC_X_16	    3	      1,000,000	      651,394,000	        1,535,169	  16	   21	   3,904	   1,038	     0	         16,000	        596,000	      1,314,000	      1,844,000	      4,290,000

COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {Q.type=disruptor-latest, Q.disruptor.lite-blocking=true, Q.batch-size=250, Q.disruptor.timeout=0}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
             Q_WC_01	    1	      1,000,000	    1,153,233,000	          867,127	  13	    9	   2,148	     249	   443	              0	         24,000	         40,000	        244,000	      1,426,000
             Q_WC_02	    1	      1,000,000	    1,102,659,000	          906,899	  13	    7	   1,977	     257	   252	          6,000	         38,000	         58,000	        546,000	        915,000
             Q_WC_04	    1	      1,000,000	    1,042,151,000	          959,554	  13	    9	   1,847	     280	   160	          7,000	         60,000	        108,000	        160,000	        966,000
             Q_WC_08	    1	      1,000,000	    1,062,300,000	          941,354	  13	    8	   1,951	     349	    44	          5,000	        107,000	        275,000	        421,000	      1,196,000
             Q_WC_16	    1	      1,000,000	    1,124,235,000	          889,494	  14	   21	   2,270	     470	     2	         15,000	        224,000	        621,000	      1,077,000	      1,857,000
